"스프링 클라우드 넷플릭스는 어떤 용도로 사용되나요?","스프링 클라우드 넷플릭스는 Spring Boot 앱에 Netflix OSS 통합을 제공하여 자동 구성 및 Spring Environment 및 다른 Spring 프로그래밍 모델 관용구에 결합합니다. 몇 가지 간단한 어노테이션을 사용하여 애플리케이션 내에서 일반적인 패턴을 빠르게 활성화하고 구성하고, 검증된 Netflix 구성 요소를 사용하여 대규모 분산 시스템을 구축할 수 있습니다. (출처: <https://docs.spring.io/spring-cloud-netflix/reference/index.html>)"
"스프링 클라우드 넷플릭스가 제공하는 패턴은 무엇인가요?","스프링 클라우드 넷플릭스가 제공하는 패턴은 서비스 검색 (Eureka)입니다. (출처: <https://docs.spring.io/spring-cloud-netflix/reference/index.html>)"
"스프링 클라우드 넷플릭스를 사용하면 어떤 이점을 얻을 수 있나요?","스프링 클라우드 넷플릭스를 사용하면 몇 가지 간단한 어노테이션을 사용하여 애플리케이션 내에서 일반적인 패턴을 빠르게 활성화하고 구성하고, 검증된 Netflix 구성 요소를 사용하여 대규모 분산 시스템을 구축할 수 있습니다. (출처: <https://docs.spring.io/spring-cloud-netflix/reference/index.html>)"
"스프링 클라우드 넷플릭스 이류카 클라이언트를 프로젝트에 포함하려면 어떻게 해야 하나요?","스프링 클라우드 넷플릭스 이류카 클라이언트를 프로젝트에 포함하려면, org.springframework.cloud 그룹 ID와 spring-cloud-starter-netflix-eureka-client 아티팩트 ID를 가진 스타터를 사용하세요. 자세한 내용은 Spring Cloud 프로젝트 페이지를 참조하세요."
"이류카 서버에서 고가용성을 구성하려면 어떻게 해야 하나요?","이류카 서버에서 고가용성을 구성하려면, 여러 인스턴스를 실행하고 서로 레지스트리에 등록하도록 요청하면 됩니다. 기본적으로 모든 이류카 서버는 이류카 클라이언트이며, 동료를 찾기 위해 (적어도 하나의) 서비스 URL이 필요합니다. 유효한 serviceUrl을 동료에게 추가하면 작동합니다."
"이류카 서버에 보안을 추가하려면 어떻게 해야 하나요?","이류카 서버에 보안을 추가하려면, spring-boot-starter-security를 통해 Spring Security를 서버의 클래스패스에 추가하면 됩니다. 기본적으로 Spring Security가 클래스패스에 있으면 모든 앱 요청에 유효한 CSRF 토큰이 전송되어야 합니다. 이 요구 사항을 /eureka/** 엔드포인트에 대해 비활성화해야 합니다."
"스프링 클라우드 네트플릭스에서 애플리케이션 속성을 지정하는 방법은 무엇인가요?","스프링 클라우드 네트플릭스에서 애플리케이션 속성을 지정하는 방법은 application.properties 파일, application.yml 파일 또는 명령줄 스위치로 지정할 수 있습니다. 이 문서는 일반적인 스프링 클라우드 네트플릭스 속성 목록과 해당 속성을 소비하는 기본 클래스에 대한 참조를 제공합니다. (출처: https://docs.spring.io/spring-cloud-netflix/reference/appendix.html)"
"스프링 클라우드 네트플릭스에서 다양한 속성을 정의하는 방법은 무엇인가요?","스프링 클라우드 네트플릭스에서는 application.properties 파일, application.yml 파일 또는 명령줄 스위치로 다양한 속성을 정의할 수 있습니다. 또한, 자체 속성을 정의할 수도 있습니다. 이 문서는 일반적인 스프링 클라우드 네트플릭스 속성 목록과 해당 속성을 소비하는 기본 클래스에 대한 참조를 제공합니다. (출처: https://docs.spring.io/spring-cloud-netflix/reference/appendix.html)"
"스프링 클라우드 네트플릭스에서 추가 속성을 얻을 수 있는 다른 소스는 무엇인가요?","스프링 클라우드 네트플릭스에서 추가 속성을 얻을 수 있는 다른 소스는 클래스패스에 있는 추가 jar 파일입니다. 이 문서에서는 일반적인 스프링 클라우드 네트플릭스 속성 목록과 해당 속성을 소비하는 기본 클래스에 대한 참조를 제공하지만, 완전한 목록은 아닙니다. (출처: https://docs.spring.io/spring-cloud-netflix/reference/appendix.html)"
"Eureka 클라이언트에서 delta 가져오기를 비활성화하려면 어떤 구성 속성을 사용해야 하나요?","Eureka 클라이언트에서 delta 가져오기를 비활성화하려면 'eureka.client.disable-delta' 구성 속성을 사용할 수 있습니다. 이 속성의 기본값은 false이며, true로 설정하면 클라이언트는 전체 레지스트리 정보를 가져오는 대신 delta 정보를 가져오지 않습니다. (출처: https://docs.spring.io/spring-cloud-netflix/reference/configprops.html)"
"Eureka 클라이언트에서 서버와의 연결이 시간 초과되기 전에 대기할 시간을 지정하려면 어떤 구성 속성을 사용해야 하나요?","Eureka 클라이언트에서 서버와의 연결이 시간 초과되기 전에 대기할 시간을 지정하려면 'eureka.client.eureka-server-connect-timeout-seconds' 구성 속성을 사용할 수 있습니다. 이 속성의 기본값은 5초이며, 클라이언트 측에서 연결 생성 및 풀에서 연결을 가져오는 대기 시간에 영향을 미칩니다. (출처: https://docs.spring.io/spring-cloud-netflix/reference/configprops.html)"
"Eureka 클라이언트에서 Eureka 서버와의 통신에 프록시를 사용하려면 어떤 구성 속성을 설정해야 하나요?","Eureka 클라이언트에서 Eureka 서버와의 통신에 프록시를 사용하려면 'eureka.client.proxy-host', 'eureka.client.proxy-port', 'eureka.client.proxy-user-name', 'eureka.client.proxy-password' 등 여러 구성 속성을 설정해야 합니다. 이 속성들을 프록시 호스트, 포트, 사용자 이름, 암호로 적절히 구성하면 됩니다. (출처: https://docs.spring.io/spring-cloud-netflix/reference/configprops.html)"
